path	loc	public_exports
agent/shell_hooks.py	847	allowlist_entry_for,allowlist_path,iter_configured_hooks,load_allowlist,register_from_config,reset_for_tests,revoke,run_once,save_allowlist,script_is_executable,script_mtime_iso,ShellHookSpec
agent/skill_bundles.py	410	build_bundle_invocation_message,bundle_path_for,delete_bundle,get_bundle,get_skill_bundles,list_bundles,reload_bundles,resolve_bundle_command_key,save_bundle,scan_bundles
agent/skill_commands.py	523	build_preloaded_skills_prompt,build_skill_invocation_message,get_skill_commands,reload_skills,resolve_skill_command_key,scan_skill_commands
agent/skill_preprocessing.py	139	expand_inline_shell,load_skills_config,preprocess_skill_content,run_inline_shell,substitute_template_vars
agent/skill_utils.py	566	discover_all_skill_config_vars,extract_skill_conditions,extract_skill_config_vars,extract_skill_description,get_all_skills_dirs,get_disabled_skill_names,get_external_skills_dirs,is_excluded_skill_path,is_valid_namespace,iter_skill_index_files,parse_frontmatter,parse_qualified_name,resolve_skill_config_values,skill_matches_platform,yaml_load
agent/stream_diag.py	280	emit_stream_drop,flatten_exception_chain,log_stream_retry,stream_diag_capture_response,stream_diag_init
agent/subdirectory_hints.py	224	SubdirectoryHintTracker
agent/system_prompt.py	346	build_system_prompt,build_system_prompt_parts,format_tools_for_system_message,invalidate_system_prompt
agent/think_scrubber.py	386	StreamingThinkScrubber
agent/title_generator.py	171	auto_title_session,generate_title,maybe_auto_title
agent/tool_dispatch_helpers.py	350	make_tool_result_message
agent/tool_executor.py	910	execute_tool_calls_concurrent,execute_tool_calls_sequential
agent/tool_guardrails.py	475	append_toolguard_guidance,canonical_tool_args,classify_tool_failure,ToolCallGuardrailConfig,ToolCallGuardrailController,ToolCallSignature,toolguard_synthetic_result,ToolGuardrailDecision
agent/tool_result_classification.py	26	file_mutation_result_landed
agent/trajectory.py	56	convert_scratchpad_to_think,has_incomplete_scratchpad,save_trajectory
agent/transports/__init__.py	68	get_transport,register_transport
agent/transports/anthropic.py	179	AnthropicTransport
agent/transports/base.py	89	ProviderTransport
agent/transports/bedrock.py	154	BedrockTransport
agent/transports/chat_completions.py	629	ChatCompletionsTransport
agent/transports/codex_app_server_session.py	810	CodexAppServerSession,TurnResult
agent/transports/codex_app_server.py	399	check_codex_binary,CodexAppServerClient,CodexAppServerError,parse_codex_version
agent/transports/codex_event_projector.py	312	CodexEventProjector,ProjectionResult
agent/transports/codex.py	280	ResponsesApiTransport
agent/transports/hermes_tools_mcp_server.py	233	main
agent/transports/types.py	162	build_tool_call,map_finish_reason,NormalizedResponse,ToolCall,Usage
agent/usage_pricing.py	877	BillingRoute,CanonicalUsage,CostResult,estimate_usage_cost,format_duration_compact,format_token_count_compact,get_pricing_entry,has_known_pricing,normalize_usage,PricingEntry,resolve_billing_route
agent/video_gen_provider.py	299	error_response,save_b64_video,save_bytes_video,success_response,VideoGenProvider
agent/video_gen_registry.py	117	get_active_provider,get_provider,list_providers,register_provider
agent/web_search_provider.py	221	WebSearchProvider
agent/web_search_registry.py	262	get_active_crawl_provider,get_active_extract_provider,get_active_search_provider,get_provider,list_providers,register_provider
